pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,id
136,2,la rochelle,,1,04/08/2020,False,23713054
97,2,la rochelle,,1,04/08/2020,False,42261111
277,3,rivedoux plage,,1,04/08/2020,False,42725522
166,2,la rochelle,,,04/08/2020,False,28663922
97,2,la rochelle,,1,04/08/2020,False,25743304
617,5,la rochelle,,,04/08/2020,False,25997381
604,4,la rochelle,,3,04/08/2020,False,31679853
277,3,rivedoux plage,,1,04/08/2020,False,42216319
835,4,rivedoux plage,,3,04/08/2020,False,42881478
405,6,la rochelle,,3,04/08/2020,False,5292216
421,3,sainte marie de re,,1,04/08/2020,False,15862832
569,4,l houmeau,,,04/08/2020,False,29237359
568,4,saint martin de re,,4,11/08/2020,False,34822614
554,4,sainte marie de re,,,11/08/2020,False,19850715
525,3,sainte marie de re,,,11/08/2020,False,22781676
547,5,sainte marie de re,,5,11/08/2020,False,28240132
553,4,rivedoux plage,,,11/08/2020,False,13397150
710,4,la flotte,,3,11/08/2020,False,41956735
674,5,rivedoux plage,,,11/08/2020,False,31922291
277,3,rivedoux plage,,1,11/08/2020,False,41807117
835,4,rivedoux plage,,3,11/08/2020,False,42881478
761,5,sainte marie de re,,,11/08/2020,False,36513210
277,3,rivedoux plage,,1,11/08/2020,False,42885442
277,3,rivedoux plage,,1,11/08/2020,False,42725522
277,3,rivedoux plage,,1,11/08/2020,False,42216319
421,3,sainte marie de re,,1,11/08/2020,False,15862832
832,5,loix,,5,11/08/2020,False,16119699
"1,044",6,la couarde sur mer,,3,11/08/2020,False,40408890
544,3,la couarde sur mer,,,11/08/2020,False,1275210
778,3,le bois plage en re,,,11/08/2020,False,39211506
768,4,le bois plage en re,,4,11/08/2020,False,16119700
558,4,saint martin de re,,4,18/08/2020,False,34822614
589,4,le bois plage en re,,,18/08/2020,False,18179034
"1,019",6,saint martin de re,,6,18/08/2020,False,33418725
465,3,la flotte,,3,18/08/2020,False,5018017
561,4,rivedoux plage,,4,18/08/2020,False,14888511
700,6,sainte marie de re,,3,18/08/2020,False,19282343
279,3,la couarde sur mer,,1,18/08/2020,False,18485059
512,3,sainte marie de re,,,18/08/2020,False,22781676
530,5,sainte marie de re,,5,18/08/2020,False,28240132
710,4,la flotte,,3,18/08/2020,False,41956735
981,6,rivedoux plage,,4,18/08/2020,False,6235071
260,3,rivedoux plage,,1,18/08/2020,False,41807117
674,5,rivedoux plage,,,18/08/2020,False,31922291
661,4,saint martin de re,,3,18/08/2020,False,42292241
835,4,rivedoux plage,,3,18/08/2020,False,42881478
731,4,la couarde sur mer,,,18/08/2020,False,41545453
761,5,sainte marie de re,,,18/08/2020,False,36513210
265,3,rivedoux plage,,1,18/08/2020,False,42885442
260,3,rivedoux plage,,1,18/08/2020,False,42725522
669,4,sainte marie de re,,,18/08/2020,False,25654302
260,3,rivedoux plage,,1,18/08/2020,False,42216319
619,3,la flotte,,,18/08/2020,False,13561680
796,6,le bois plage en re,,,18/08/2020,False,39712188
435,4,sainte marie de re,,3,18/08/2020,False,16573701
"1,175",6,sainte marie de re,,7,18/08/2020,False,34239481
493,5,sainte marie de re,,3,18/08/2020,False,26373652
632,3,la flotte,,3,18/08/2020,False,15862840
421,3,sainte marie de re,,1,18/08/2020,False,15862832
"1,044",6,la couarde sur mer,,3,18/08/2020,False,40408890
778,3,le bois plage en re,,,18/08/2020,False,39211506
727,4,le bois plage en re,,4,18/08/2020,False,16119700
702,5,rivedoux plage,,5,18/08/2020,False,6817965
544,3,la couarde sur mer,,,18/08/2020,False,1275210
399,4,le bois plage en re,,,25/08/2020,False,18179034
516,4,saint martin de re,,4,25/08/2020,False,34822614
430,3,le bois plage en re,,3,25/08/2020,False,16857198
554,3,le bois plage en re,,,25/08/2020,False,33873734
343,3,le bois plage en re,,,25/08/2020,False,33759042
264,4,la couarde sur mer,,,25/08/2020,False,24008036
363,3,la couarde sur mer,,,25/08/2020,False,33822917
336,3,sainte marie de re,,1,25/08/2020,False,18204197
881,6,saint martin de re,,5,25/08/2020,False,20600612
978,6,saint martin de re,,6,25/08/2020,False,33418725
228,5,sainte marie de re,,3,25/08/2020,False,42855461
517,3,le bois plage en re,,,25/08/2020,False,15844141
503,0,sainte marie de re,,3,25/08/2020,False,42164842
563,3,rivedoux plage,,3,25/08/2020,False,13812715
246,3,la couarde sur mer,,1,25/08/2020,False,18485059
465,3,la flotte,,3,25/08/2020,False,5018017
496,4,saint martin de re,,3,25/08/2020,False,42292241
455,5,sainte marie de re,,5,25/08/2020,False,28240132
390,3,rivedoux plage,,,25/08/2020,False,12256043
720,4,le bois plage en re,,,25/08/2020,False,13507125
936,5,la flotte,,4,25/08/2020,False,26211665
468,5,le bois plage en re,,3,25/08/2020,False,42582383
218,3,rivedoux plage,,1,25/08/2020,False,42725522
218,3,rivedoux plage,,1,25/08/2020,False,41807117
674,5,rivedoux plage,,,25/08/2020,False,31922291
710,4,la flotte,,3,25/08/2020,False,41956735
928,6,rivedoux plage,,4,25/08/2020,False,6235071
218,3,rivedoux plage,,1,25/08/2020,False,42216319
761,5,sainte marie de re,,,25/08/2020,False,36513210
229,3,rivedoux plage,,1,25/08/2020,False,42885442
433,5,sainte marie de re,,3,25/08/2020,False,26373652
645,3,loix,,,25/08/2020,False,23892072
622,4,sainte marie de re,,,25/08/2020,False,25654302
563,3,rivedoux plage,,,25/08/2020,False,30150760
835,4,rivedoux plage,,3,25/08/2020,False,42881478
"1,121",6,sainte marie de re,,7,25/08/2020,False,34239481
502,6,rivedoux plage,,3,25/08/2020,False,4945576
908,6,la couarde sur mer,,3,25/08/2020,False,40408890
619,3,la flotte,,,25/08/2020,False,13561680
639,4,le bois plage en re,,4,25/08/2020,False,16119700
218,3,rivedoux plage,,1,25/08/2020,False,42216319
335,3,la rochelle,,,25/08/2020,False,16317728
158,2,la rochelle,,,25/08/2020,False,28663922
761,5,sainte marie de re,,,25/08/2020,False,36513210
128,2,la rochelle,,1,25/08/2020,False,6311668
502,6,rivedoux plage,,3,25/08/2020,False,4945576
617,5,la rochelle,,,25/08/2020,False,25997381
229,3,rivedoux plage,,1,25/08/2020,False,42885442
645,3,loix,,,25/08/2020,False,23892072
622,4,sainte marie de re,,,25/08/2020,False,25654302
563,3,rivedoux plage,,,25/08/2020,False,30150760
510,4,l houmeau,,,25/08/2020,False,29237359
835,4,rivedoux plage,,3,25/08/2020,False,42881478
"1,121",6,sainte marie de re,,7,25/08/2020,False,34239481
"1,093",5,nieul sur mer,,3,25/08/2020,False,20351991
433,5,sainte marie de re,,3,25/08/2020,False,26373652
480,5,rivedoux plage,,,25/08/2020,False,16172560
908,6,la couarde sur mer,,3,25/08/2020,False,40408890
619,3,la flotte,,,25/08/2020,False,13561680
